Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
2,7.84,7.84,1,7.61,7.61,4,8.19,8.19,5,8.43,8.43,6,8.64,8.64,3,8.03,8.03
2,10.88,18.72,1,10.98,18.59,4,10.74,18.93,5,10.61,19.04,6,10.54,19.18,3,10.79,18.82
2,10.68,29.40,1,10.72,29.31,4,10.72,29.65,5,10.75,29.79,6,10.72,29.90,3,10.70,29.52
3,10.71,40.11,2,10.65,39.96,4,10.59,40.24,5,10.56,40.35,6,10.58,40.48,1,10.32,39.84
3,10.59,50.70,2,10.65,50.61,5,10.57,50.81,4,10.41,50.76,6,10.51,50.99,1,10.67,50.51
6,10.46,1:01.16,2,10.20,1:00.81,1,9.94,1:00.75,5,10.30,1:01.06,4,10.01,1:01.00,3,10.34,1:00.85
6,9.69,1:10.85,2,9.57,1:10.38,1,9.56,1:10.31,4,9.54,1:10.60,5,9.69,1:10.69,3,9.64,1:10.49
6,9.65,1:20.50,1,9.69,1:20.07,2,9.87,1:20.18,4,9.75,1:20.35,5,9.75,1:20.44,3,9.71,1:20.20
5,9.50,1:30.00,1,9.60,1:29.67,6,10.10,1:30.28,4,9.52,1:29.87,3,9.39,1:29.83,2,9.61,1:29.81
3,9.56,1:39.56,1,9.48,1:39.15,5,9.46,1:39.74,2,9.54,1:39.41,4,9.80,1:39.63,6,27.37,1:57.18
3,9.48,1:49.04,1,9.56,1:48.71,5,9.52,1:49.26,2,9.51,1:48.92,4,9.50,1:49.13,6,18.38,2:15.56
4,9.63,1:58.67,1,9.68,1:58.39,5,9.59,1:58.85,2,9.58,1:58.50,3,9.48,1:58.61,6,13.48,2:29.04
4,9.96,2:08.63,1,9.76,2:08.15,5,9.89,2:08.74,2,9.73,2:08.23,3,9.76,2:08.37,6,12.66,2:41.70
4,9.99,2:18.613,1,10.18,2:18.329,5,9.90,2:18.637,2,10.22,2:18.449,3,10.23,2:18.593,0,,PEN
