WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,7.28,7.28,3,7.32,7.32,4,7.55,7.55,1,7.28,7.28
2,9.47,16.75,3,9.52,16.84,4,9.70,17.25,1,9.37,16.65
2,8.74,25.49,3,8.74,25.58,4,9.26,26.51,1,8.69,25.34
2,8.89,34.38,3,8.82,34.40,4,9.49,36.00,1,8.88,34.22
3,9.44,43.818,2,9.35,43.749,4,9.78,45.773,1,9.14,43.356
