ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Artem DENISOV POSITION,Artem DENISOV LAP TIME,Artem DENISOV ELAPSED TIME,Tunay SIMSEK POSITION,Tunay SIMSEK LAP TIME,Tunay SIMSEK ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME
1,13.64,13.64,2,13.73,13.73,5,19.44,19.44,3,13.86,13.86,4,14.07,14.07
3,10.65,24.29,2,10.48,24.21,5,9.98,29.42,4,10.43,24.29,1,10.04,24.11
4,10.16,34.45,2,9.76,33.97,5,10.13,39.55,3,9.80,34.09,1,9.70,33.81
3,9.91,44.36,2,9.89,43.86,5,11.05,50.60,4,13.62,47.71,1,9.81,43.62
3,10.30,54.66,2,9.59,53.45,4,11.66,1:02.26,5,22.12,1:09.83,1,9.71,53.33
3,10.89,1:05.55,2,9.70,1:03.15,4,12.29,1:14.55,5,19.16,1:28.99,1,9.65,1:02.98
3,11.47,1:17.02,2,9.62,1:12.77,4,12.19,1:26.74,5,15.08,1:44.07,1,9.63,1:12.61
3,11.60,1:28.62,2,9.50,1:22.27,4,12.56,1:39.30,5,13.42,1:57.49,1,9.52,1:22.13
3,11.41,1:40.021,2,9.56,1:31.822,4,13.77,1:53.070,0,,notime,1,9.51,1:31.633
