Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Zsuzsanna KERCSO MAGOS POSITION,Zsuzsanna KERCSO MAGOS LAP TIME,Zsuzsanna KERCSO MAGOS ELAPSED TIME
2,15.15,15.15,1,15.14,15.14,3,15.44,15.44,4,15.54,15.54
2,10.67,25.82,1,10.37,25.51,3,10.55,25.99,4,10.64,26.18
2,9.95,35.77,1,10.07,35.58,3,9.96,35.95,4,10.02,36.20
1,9.84,45.61,2,10.05,45.63,3,9.94,45.89,4,10.11,46.31
1,10.16,55.77,2,10.25,55.88,3,10.14,56.03,4,10.45,56.76
1,10.61,1:06.38,2,10.63,1:06.51,3,10.60,1:06.63,4,10.86,1:07.62
1,10.64,1:17.02,2,10.64,1:17.15,3,10.61,1:17.24,4,11.16,1:18.78
1,10.50,1:27.52,3,10.50,1:27.65,2,10.32,1:27.56,4,11.48,1:30.26
2,10.57,1:38.089,3,10.58,1:38.228,1,10.19,1:37.741,4,11.77,1:42.023
