Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,SHAO Shuai POSITION,SHAO Shuai LAP TIME,SHAO Shuai ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,12.53,12.53,5,12.82,12.82,3,12.65,12.65,2,12.63,12.63,4,12.73,12.73
1,9.10,21.63,4,9.09,21.91,3,9.17,21.82,2,9.08,21.71,5,9.19,21.92
1,9.16,30.79,4,9.25,31.16,3,9.25,31.07,2,9.19,30.90,5,9.36,31.28
1,9.23,40.02,3,9.06,40.22,4,9.28,40.35,2,9.21,40.11,5,9.12,40.40
1,9.03,49.05,3,8.98,49.20,5,9.07,49.42,1,8.94,49.05,4,8.82,49.22
2,8.78,57.83,4,8.83,58.03,5,8.73,58.15,1,8.68,57.73,3,8.73,57.95
2,8.77,1:06.60,4,8.81,1:06.84,5,8.78,1:06.93,1,8.79,1:06.52,3,8.82,1:06.77
2,8.92,1:15.52,4,10.06,1:16.90,3,9.80,1:16.73,1,8.92,1:15.44,5,12.89,1:19.66
2,9.10,1:24.62,4,9.88,1:26.758,3,9.52,1:26.231,1,9.12,1:24.56,5,20.47,1:40.045
