Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
1,13.57,13.57,2,13.68,13.68,3,13.71,13.71,4,13.97,13.97
1,10.54,24.11,2,10.50,24.18,3,10.68,24.39,4,10.53,24.50
1,10.25,34.36,3,10.31,34.49,2,9.99,34.38,4,10.15,34.65
1,10.01,44.37,3,10.10,44.59,2,10.01,44.39,4,10.05,44.70
1,9.78,54.15,3,9.74,54.33,2,9.83,54.22,4,9.78,54.48
1,9.76,1:03.91,3,9.86,1:04.19,2,9.83,1:04.05,4,9.81,1:04.29
1,9.53,1:13.44,3,9.41,1:13.60,2,9.40,1:13.45,4,9.43,1:13.72
3,9.34,1:22.78,2,9.04,1:22.64,1,9.03,1:22.48,4,9.12,1:22.84
4,10.22,1:32.991,2,9.18,1:31.820,1,9.27,1:31.746,3,9.08,1:31.920
