Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
2,7.09,7.09,1,6.94,6.94,3,7.19,7.19,4,7.38,7.38
4,9.53,16.62,1,9.22,16.16,2,9.12,16.31,3,9.21,16.59
4,9.09,25.71,1,8.78,24.94,2,8.68,24.99,3,8.88,25.47
4,9.36,35.07,1,8.97,33.91,2,8.99,33.98,3,8.75,34.22
4,10.10,45.164,2,9.29,43.198,1,9.17,43.150,3,8.99,43.206
