Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
5,12.95,12.95,2,12.57,12.57,4,12.81,12.81,1,12.49,12.49,3,12.69,12.69
5,10.14,23.09,2,10.27,22.84,4,10.26,23.07,1,10.24,22.73,3,10.27,22.96
3,9.45,32.54,1,9.55,32.39,5,9.71,32.78,2,9.73,32.46,4,9.59,32.55
4,9.75,42.29,1,9.62,42.01,5,9.68,42.46,2,9.63,42.09,3,9.62,42.17
4,9.55,51.84,2,9.61,51.62,5,9.54,52.00,3,9.62,51.71,1,9.36,51.53
4,9.34,1:01.18,2,9.38,1:01.00,5,9.29,1:01.29,3,9.38,1:01.09,1,9.39,1:00.92
4,9.32,1:10.50,2,9.26,1:10.26,5,9.41,1:10.70,3,9.29,1:10.38,1,9.34,1:10.26
4,9.27,1:19.77,1,9.23,1:19.49,5,9.43,1:20.13,2,9.21,1:19.59,3,9.42,1:19.68
4,9.56,1:29.323,1,9.56,1:29.048,5,9.77,1:29.899,2,9.66,1:29.243,3,9.62,1:29.293
