KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,7.72,7.72,1,7.41,7.41,3,8.16,8.16,4,8.44,8.44,5,8.58,8.58
2,9.99,17.71,1,10.10,17.51,4,11.01,19.17,3,10.57,19.01,5,10.60,19.18
2,9.91,27.62,1,10.00,27.51,5,10.48,29.65,3,9.86,28.87,4,10.37,29.55
2,9.98,37.60,1,9.99,37.50,5,10.14,39.79,3,10.07,38.94,4,10.13,39.68
2,9.94,47.54,1,9.95,47.45,5,9.91,49.70,3,10.03,48.97,4,9.91,49.59
2,9.83,57.37,1,9.77,57.22,5,9.76,59.46,3,10.00,58.97,4,9.76,59.35
2,9.81,1:07.18,1,9.76,1:06.98,5,9.74,1:09.20,3,9.93,1:08.90,4,9.76,1:09.11
2,10.10,1:17.28,1,9.66,1:16.64,4,9.66,1:18.86,5,10.00,1:18.90,3,9.57,1:18.68
2,10.55,1:27.83,1,9.73,1:26.37,4,9.55,1:28.41,5,9.74,1:28.64,3,9.65,1:28.33
4,11.04,1:38.87,1,9.95,1:36.32,3,9.70,1:38.11,5,10.26,1:38.90,2,9.66,1:37.99
5,11.07,1:49.94,1,10.15,1:46.47,3,9.70,1:47.81,4,10.17,1:49.07,2,9.71,1:47.70
5,10.88,2:00.82,1,10.40,1:56.87,3,9.45,1:57.26,4,10.67,1:59.74,2,9.46,1:57.16
5,10.75,2:11.57,3,10.63,2:07.50,2,9.76,2:07.02,4,11.00,2:10.74,1,9.69,2:06.85
5,10.41,2:21.977,3,10.90,2:18.396,2,9.55,2:16.561,4,11.16,2:21.895,1,9.59,2:16.432
