YE Liming POSITION,YE Liming LAP TIME,YE Liming ELAPSED TIME,Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME
1,6.809,6.809,4,7.114,7.114,2,6.901,6.901,5,7.224,7.224,3,7.091,7.091
1,9.409,16.217,3,9.469,16.583,4,10.005,16.906,2,9.352,16.576,5,20.509,27.600
2,9.154,25.371,3,9.196,25.778,4,8.910,25.816,1,8.743,25.318,5,13.151,40.750
2,9.159,34.529,4,9.581,35.359,3,9.069,34.884,1,9.159,34.477,5,12.028,52.777
2,9.41,43.935,4,10.88,46.232,3,9.44,44.317,1,9.45,43.922,5,12.11,1:04.881
