ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,Valerie LAMBERT POSITION,Valerie LAMBERT LAP TIME,Valerie LAMBERT ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Natalia PLUGINA POSITION,Natalia PLUGINA LAP TIME,Natalia PLUGINA ELAPSED TIME
1,7.23,7.23,2,7.31,7.31,3,7.53,7.53,4,7.63,7.63
1,9.76,16.99,2,9.69,17.00,3,9.67,17.20,4,9.59,17.22
2,9.24,26.23,1,8.99,25.99,3,9.18,26.38,4,9.29,26.51
2,9.15,35.38,1,9.28,35.27,3,9.20,35.58,4,9.29,35.80
2,9.66,45.041,1,9.74,45.003,3,9.52,45.100,4,9.52,45.319
