AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
3,13.29,13.29,1,13.09,13.09,5,13.63,13.63,2,13.20,13.20,4,13.41,13.41
3,9.85,23.14,2,9.94,23.03,5,9.84,23.47,1,9.71,22.91,4,9.86,23.27
3,9.78,32.92,1,9.69,32.72,5,9.66,33.13,2,9.82,32.73,4,9.67,32.94
4,9.50,42.42,1,9.30,42.02,5,9.42,42.55,2,9.45,42.18,3,9.34,42.28
4,9.11,51.53,1,9.24,51.26,5,9.40,51.95,1,9.08,51.26,3,9.14,51.42
3,8.72,1:00.25,1,8.80,1:00.06,5,9.40,1:01.35,2,8.87,1:00.13,4,8.92,1:00.34
3,8.86,1:09.11,1,8.82,1:08.88,5,9.67,1:11.02,2,8.86,1:08.99,4,8.96,1:09.30
3,8.92,1:18.03,1,8.96,1:17.84,5,10.06,1:21.08,2,9.00,1:17.99,4,8.94,1:18.24
4,9.73,1:27.76,1,9.36,1:27.20,5,10.35,1:31.43,2,9.24,1:27.23,3,9.04,1:27.28
