Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,13.48,13.48,4,13.62,13.62,1,13.40,13.40,3,13.58,13.58
3,9.96,23.44,2,9.82,23.44,1,9.98,23.38,4,9.90,23.48
3,9.53,32.97,1,9.38,32.82,2,9.51,32.89,4,9.58,33.06
3,9.58,42.55,2,9.67,42.49,4,9.68,42.57,1,9.26,42.32
3,9.42,51.97,2,9.39,51.88,4,9.61,52.18,1,9.41,51.73
3,9.49,1:01.46,2,9.55,1:01.43,4,9.40,1:01.58,1,9.55,1:01.28
3,25.00,1:26.46,4,26.99,1:28.42,2,9.58,1:11.16,1,9.43,1:10.71
3,19.27,1:45.73,4,20.59,1:49.01,2,9.71,1:20.87,1,10.12,1:20.83
3,15.83,2:01.552,0,,PEN,2,10.17,1:31.039,1,10.14,1:30.964
