VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME
5,15.89,15.89,1,15.58,15.58,4,15.83,15.83,3,15.75,15.75,2,15.66,15.66
5,11.99,27.88,2,11.91,27.49,1,11.49,27.32,4,12.02,27.77,3,11.98,27.64
5,10.65,38.53,3,10.78,38.27,1,10.86,38.18,4,10.67,38.44,2,10.61,38.25
5,10.63,49.16,2,10.49,48.76,1,10.51,48.69,4,10.61,49.05,3,10.68,48.93
4,10.06,59.22,2,10.31,59.07,1,10.32,59.01,3,10.09,59.14,4,10.29,59.22
1,9.69,1:08.91,5,10.08,1:09.15,3,10.08,1:09.09,2,9.93,1:09.07,4,9.89,1:09.11
2,9.87,1:18.78,5,10.30,1:19.45,4,10.23,1:19.32,1,9.70,1:18.77,3,10.03,1:19.14
2,9.93,1:28.71,5,10.17,1:29.62,4,10.17,1:29.49,1,9.83,1:28.60,3,10.03,1:29.17
2,10.17,1:38.860,5,10.69,1:40.287,4,10.37,1:39.836,1,10.13,1:38.73,3,10.22,1:39.373
