ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,VIGANTS Endijs POSITION,VIGANTS Endijs LAP TIME,VIGANTS Endijs ELAPSED TIME
1,6.95,6.95,2,7.08,,3,7.25,7.25,4,7.37,7.37,5,7.65,7.65
1,9.12,16.07,2,9.11,,4,9.14,16.39,3,8.91,16.28,5,9.36,17.01
1,8.69,24.76,2,8.69,,4,8.67,25.06,3,8.67,24.95,5,9.03,26.04
1,8.92,33.68,2,8.86,,3,8.81,33.87,3,8.92,33.87,5,9.13,35.17
4,10.54,44.22,2,9.23,,1,9.04,42.91,2,9.19,43.068,4,9.43,44.607
