Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,CHUNG Hsiao-Ying POSITION,CHUNG Hsiao-Ying LAP TIME,CHUNG Hsiao-Ying ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
1,16.07,16.07,3,16.09,16.09,5,16.37,16.37,2,16.09,16.09,4,16.33,16.33
2,13.17,29.25,3,13.21,29.31,5,13.15,29.53,1,13.12,29.22,4,13.19,29.52
1,12.69,41.94,2,12.72,42.03,4,12.69,42.23,3,12.84,42.06,5,12.78,42.31
2,11.29,53.24,3,11.38,53.41,5,11.38,53.61,1,10.84,52.90,4,11.22,53.53
4,10.66,1:03.91,2,10.37,1:03.79,5,10.37,1:03.99,1,10.60,1:03.51,3,10.34,1:03.87
3,10.12,1:14.03,2,10.03,1:13.83,5,10.26,1:14.26,1,10.17,1:13.68,4,10.33,1:14.21
3,9.76,1:23.80,2,9.96,1:23.79,4,10.20,1:24.46,1,9.85,1:23.54,5,36.59,1:50.81
1,9.33,1:33.14,3,10.09,1:33.88,4,10.38,1:34.85,2,9.99,1:33.53,5,21.70,2:12.51
1,10.01,1:43.145,3,10.19,1:44.065,4,10.97,1:45.820,2,10.21,1:43.734,5,14.63,2:27.133
