Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME
2,6.91,6.91,1,6.80,6.80,3,7.23,7.23,4,7.39,7.39
2,9.19,16.10,1,9.20,16.00,4,9.38,16.61,3,9.21,16.60
2,8.72,24.82,1,8.72,24.72,4,9.38,25.99,3,9.30,25.90
2,8.94,33.76,1,8.90,33.62,3,8.98,34.97,4,9.16,35.06
1,8.99,42.742,2,9.24,42.856,3,9.37,44.333,0,,PEN
