HUANG Yu-Ting POSITION,HUANG Yu-Ting LAP TIME,HUANG Yu-Ting ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Elena PRIBYSH POSITION,Elena PRIBYSH LAP TIME,Elena PRIBYSH ELAPSED TIME
5,10.339,10.339,6,10.380,10.380,4,9.945,9.945,3,9.932,9.932,1,9.744,9.744,2,9.767,9.767
6,13.651,23.990,5,13.433,23.812,3,13.760,23.704,2,13.742,23.674,4,13.962,23.706,1,13.640,23.407
6,13.411,37.400,5,13.360,37.172,3,13.229,36.933,4,13.330,37.004,1,12.950,36.655,2,13.266,36.672
5,13.197,50.597,6,13.553,50.724,3,13.362,50.295,4,13.523,50.526,1,13.588,50.243,2,13.590,50.262
5,13.390,1:03.987,6,13.442,1:04.166,3,13.446,1:03.740,4,13.341,1:03.866,2,13.456,1:03.698,1,13.152,1:03.414
5,12.701,1:16.687,6,13.081,1:17.246,3,12.577,1:16.317,1,12.187,1:16.053,4,12.623,1:16.321,2,12.880,1:16.294
6,11.767,1:28.453,5,10.968,1:28.213,3,11.763,1:28.079,2,12.016,1:28.069,4,11.762,1:28.083,1,11.735,1:28.028
6,11.258,1:39.710,5,11.442,1:39.655,1,11.140,1:39.219,2,11.216,1:39.285,4,11.513,1:39.595,3,11.443,1:39.471
6,10.633,1:50.343,3,9.963,1:49.618,1,10.188,1:49.407,2,10.232,1:49.516,4,10.365,1:49.959,5,10.866,1:50.337
5,10.462,2:00.804,3,10.218,1:59.835,1,10.137,1:59.543,2,10.151,1:59.667,4,10.064,2:00.023,6,10.934,2:01.270
5,10.399,2:11.203,3,10.132,2:09.967,1,10.224,2:09.767,2,10.160,2:09.826,4,10.327,2:10.350,6,11.699,2:12.969
5,10.988,2:22.190,3,10.250,2:20.217,1,9.782,2:19.548,2,10.028,2:19.853,4,10.513,2:20.862,6,12.458,2:25.426
5,11.388,2:33.578,1,9.625,2:29.841,2,10.318,2:29.865,3,10.027,2:29.879,4,10.762,2:31.624,6,12.924,2:38.349
5,11.94,2:45.511,1,10.30,2:40.136,2,10.48,2:40.343,3,10.66,2:40.533,4,11.47,2:43.088,6,13.22,2:51.564
