Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
4,9.87,9.87,2,9.49,9.49,1,9.38,9.38,3,9.68,9.68,5,10.11,10.11
4,13.53,23.40,2,13.70,23.19,1,13.63,23.01,3,13.62,23.30,5,13.46,23.57
4,12.69,36.09,2,12.58,35.77,1,12.61,35.62,3,12.67,35.97,5,12.68,36.25
4,12.10,48.19,2,12.15,47.92,1,12.15,47.77,3,12.08,48.05,5,12.10,48.35
4,11.25,59.44,1,11.23,59.15,3,11.48,59.25,2,11.17,59.22,5,11.24,59.59
5,10.68,1:10.12,1,10.52,1:09.67,4,10.61,1:09.86,2,10.55,1:09.77,3,10.20,1:09.79
5,9.49,1:19.61,3,9.70,1:19.37,4,9.54,1:19.40,2,9.46,1:19.23,1,9.28,1:19.07
5,9.38,1:28.99,4,9.48,1:28.85,3,9.36,1:28.76,2,9.42,1:28.65,1,9.46,1:28.53
5,9.67,1:38.66,4,9.68,1:38.53,3,9.69,1:38.45,2,9.70,1:38.35,1,9.71,1:38.24
5,9.52,1:48.18,4,9.51,1:48.04,3,9.51,1:47.96,1,9.40,1:47.75,2,9.52,1:47.76
5,9.35,1:57.53,4,9.31,1:57.35,3,9.28,1:57.24,1,9.30,1:57.05,2,9.35,1:57.11
5,9.51,2:07.04,4,9.33,2:06.68,3,9.29,2:06.53,1,9.29,2:06.34,2,9.30,2:06.41
5,9.73,2:16.77,4,9.42,2:16.10,3,9.43,2:15.96,1,9.32,2:15.66,2,9.33,2:15.74
5,10.28,2:27.046,4,9.60,2:25.693,3,9.65,2:25.610,1,9.57,2:25.228,2,9.68,2:25.413
