SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,KIM Seoung Il POSITION,KIM Seoung Il LAP TIME,KIM Seoung Il ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
1,10.06,10.06,2,10.32,10.32,5,10.72,10.72,4,10.49,10.49,3,10.43,10.43
2,13.98,24.04,4,14.11,24.43,5,14.06,24.78,1,13.50,23.99,3,13.75,24.18
4,12.02,36.06,3,11.61,36.04,5,11.54,36.32,2,11.95,35.94,1,11.64,35.82
1,12.16,48.22,4,12.53,48.57,5,12.34,48.66,3,12.45,48.39,2,12.49,48.31
1,11.65,59.87,4,11.55,1:00.12,5,11.69,1:00.35,3,11.72,1:00.11,2,11.72,1:00.03
1,11.07,1:10.94,3,11.16,1:11.28,4,11.00,1:11.35,2,11.03,1:11.14,5,11.55,1:11.58
2,10.38,1:21.32,5,10.43,1:21.71,4,10.24,1:21.59,1,10.11,1:21.25,3,9.91,1:21.49
1,9.61,1:30.93,5,9.63,1:31.34,2,9.44,1:31.03,3,9.91,1:31.16,4,9.82,1:31.31
2,9.46,1:40.39,5,9.90,1:41.24,1,9.23,1:40.26,3,9.38,1:40.54,4,9.37,1:40.68
1,9.08,1:49.47,5,9.88,1:51.12,2,9.21,1:49.47,3,9.09,1:49.63,4,9.18,1:49.86
2,9.33,1:58.80,5,10.14,2:01.26,1,9.26,1:58.73,3,9.30,1:58.93,4,9.40,1:59.26
1,9.16,2:07.96,5,10.32,2:11.58,2,9.27,2:08.00,3,9.31,2:08.24,4,9.43,2:08.69
1,9.24,2:17.20,5,10.82,2:22.40,2,9.21,2:17.21,3,9.22,2:17.46,4,9.52,2:18.21
1,9.22,2:26.415,5,11.29,2:33.690,2,9.38,2:26.585,3,9.45,2:26.901,4,10.85,2:29.051
