Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,12.49,12.49,2,12.59,12.59,3,12.64,12.64,4,12.66,12.66
3,9.59,22.08,1,9.35,21.94,4,9.56,22.20,2,9.40,22.06
3,9.51,31.59,2,9.59,31.54,4,9.45,31.65,1,9.24,31.30
3,9.57,41.16,2,9.52,41.06,4,9.61,41.27,1,9.69,41.00
2,9.24,50.40,1,9.20,50.27,3,9.24,50.51,0,,
3,9.45,59.86,2,9.49,59.76,4,9.37,59.89,1,0.00,59.71
3,9.46,1:09.32,1,9.28,1:09.05,4,9.59,1:09.49,2,9.51,1:09.23
3,9.35,1:18.68,1,9.42,1:18.48,4,9.42,1:18.91,2,9.44,1:18.67
4,25.40,1:44.078,1,9.81,1:28.285,3,10.07,1:28.978,2,9.80,1:28.465
