CHEON Hee Jung POSITION,CHEON Hee Jung LAP TIME,CHEON Hee Jung ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,13.77,13.77,2,13.80,13.80,3,13.92,13.92,4,14.06,14.06
1,9.86,23.63,3,9.95,23.75,2,9.78,23.70,4,9.84,23.90
1,10.63,34.26,2,10.64,34.39,4,11.15,34.85,3,10.70,34.60
2,9.10,43.36,1,8.85,43.24,4,8.87,43.72,3,9.01,43.61
2,9.68,53.04,1,9.76,53.00,4,9.58,53.30,3,9.62,53.23
2,9.96,1:03.00,1,9.96,1:02.96,4,10.04,1:03.34,3,10.01,1:03.24
1,9.91,1:12.91,2,10.13,1:13.09,3,10.00,1:13.34,4,10.50,1:13.74
1,9.86,1:22.77,3,9.84,1:22.93,2,9.58,1:22.92,4,11.04,1:24.78
1,10.09,1:32.852,0,,PEN,2,10.15,1:33.066,3,12.14,1:36.915
