MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,Roza KOOYSTRA POSITION,Roza KOOYSTRA LAP TIME,Roza KOOYSTRA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME
1,7.41,7.41,2,7.42,7.42,5,7.98,7.98,3,7.88,7.88,4,7.93,7.93
2,9.44,16.85,1,9.34,16.76,5,9.88,17.86,4,9.92,17.80,3,9.76,17.69
2,8.90,25.75,1,8.86,25.62,5,9.39,27.25,4,9.36,27.16,3,9.06,26.75
2,9.00,34.75,1,9.05,34.67,5,9.48,36.73,4,9.53,36.69,3,9.22,35.97
2,9.24,43.99,1,9.22,43.89,4,9.50,46.23,5,10.06,46.75,3,9.68,45.65
