Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
1,6.82,6.82,3,7.17,7.17,4,7.34,7.34,2,6.95,6.95
1,9.01,15.83,3,8.93,16.10,4,8.96,16.30,2,8.89,15.84
2,8.56,24.39,3,8.46,24.56,4,8.62,24.92,1,8.37,24.21
2,8.51,32.90,3,8.46,33.02,4,8.93,33.85,1,8.53,32.74
2,8.74,41.633,3,8.80,41.814,4,9.64,43.483,1,8.84,41.579
