BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Avalon AARDOOM POSITION,Avalon AARDOOM LAP TIME,Avalon AARDOOM ELAPSED TIME,Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Danielle AMOS POSITION,Danielle AMOS LAP TIME,Danielle AMOS ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
5,15.23,,6,15.36,15.36,4,15.15,15.15,2,14.88,14.88,3,15.00,15.00,1,14.75,14.75
3,11.08,,6,11.27,26.63,5,11.35,26.50,2,11.33,26.21,4,11.36,26.36,1,11.37,26.12
3,10.38,,6,10.36,36.99,5,10.44,36.94,1,10.29,36.50,4,10.44,36.80,2,10.52,36.64
2,10.11,,3,9.90,46.89,5,10.15,47.09,1,10.19,46.69,4,10.20,47.00,6,10.57,47.21
2,10.12,,3,10.12,57.01,5,10.11,57.20,1,10.15,56.84,4,10.17,57.17,6,10.14,57.35
2,9.74,,3,9.74,1:06.75,4,9.62,1:06.82,1,9.68,1:06.52,5,9.95,1:07.12,6,9.92,1:07.27
2,9.55,,3,9.53,1:16.28,4,9.69,1:16.51,1,9.60,1:16.12,5,9.93,1:17.05,6,10.06,1:17.33
3,9.74,,2,9.66,1:25.94,4,9.62,1:26.13,1,9.72,1:25.84,5,10.25,1:27.30,6,10.11,1:27.44
2,10.31,,6,31.21,1:57.15,3,10.52,1:36.65,1,9.83,1:35.67,3,10.46,1:37.760,5,10.45,1:37.89
