Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,Melissa TUNNO POSITION,Melissa TUNNO LAP TIME,Melissa TUNNO ELAPSED TIME
3,16.05,16.05,2,15.90,15.90,1,15.71,15.71,4,16.19,16.19
2,11.00,27.05,3,11.17,27.07,1,11.25,26.96,4,11.02,27.21
2,10.86,37.91,3,10.96,38.03,1,10.90,37.86,4,10.98,38.19
1,9.70,47.61,3,9.96,47.99,2,10.12,47.98,4,9.98,48.17
1,9.63,57.24,2,9.42,57.41,3,9.74,57.72,4,9.72,57.89
1,9.78,1:07.02,2,9.72,1:07.13,3,9.80,1:07.52,4,9.65,1:07.54
2,10.02,1:17.04,1,9.81,1:16.94,4,10.21,1:17.73,3,9.73,1:17.27
2,10.08,1:27.12,1,10.08,1:27.02,4,10.85,1:28.58,3,9.96,1:27.23
2,10.46,1:37.58,1,10.45,1:37.47,4,11.65,1:40.23,3,10.50,1:37.73
