ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
5,12.84,12.84,6,12.93,12.93,3,12.73,12.73,1,12.53,12.53,2,12.72,12.72,4,12.82,12.82
1,16.69,29.53,3,16.89,29.82,2,16.96,29.69,4,17.50,30.03,5,17.48,30.20,6,17.52,30.34
1,15.39,44.92,3,15.43,45.25,2,15.43,45.12,4,15.37,45.40,6,15.40,45.60,5,15.19,45.53
3,14.68,59.60,4,14.45,59.70,2,14.39,59.51,1,14.05,59.45,6,14.21,59.81,5,14.20,59.73
5,12.79,1:12.39,3,12.44,1:12.14,1,12.39,1:11.90,4,12.84,1:12.29,2,12.22,1:12.03,6,12.82,1:12.55
2,12.41,1:24.80,5,12.95,1:25.09,1,12.79,1:24.69,4,12.72,1:25.01,3,12.89,1:24.92,6,12.68,1:25.23
4,12.30,1:37.10,3,11.93,1:37.02,2,12.24,1:36.93,5,12.33,1:37.34,1,11.91,1:36.83,6,12.29,1:37.52
1,10.99,1:48.09,4,11.50,1:48.52,3,11.42,1:48.35,5,11.31,1:48.65,2,11.39,1:48.22,6,11.24,1:48.76
1,10.63,1:58.72,6,10.58,1:59.10,3,10.54,1:58.89,4,10.33,1:58.98,2,10.59,1:58.81,5,10.33,1:59.09
1,10.69,2:09.41,6,10.95,2:10.05,3,10.76,2:09.65,4,10.73,2:09.71,2,10.71,2:09.52,5,10.79,2:09.88
1,10.04,2:19.45,6,10.33,2:20.38,4,10.00,2:19.65,3,9.92,2:19.63,2,10.02,2:19.54,5,9.96,2:19.84
1,9.76,2:29.21,6,10.92,2:31.30,5,9.83,2:29.48,2,9.60,2:29.23,3,9.81,2:29.35,4,9.52,2:29.36
2,9.64,2:38.85,6,11.58,2:42.88,5,9.83,2:39.31,1,9.39,2:38.62,4,9.80,2:39.15,3,9.50,2:38.86
3,9.70,2:48.55,6,12.30,2:55.18,5,10.03,2:49.34,1,9.68,2:48.30,4,10.07,2:49.22,2,9.59,2:48.45
