Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,YIN Qi POSITION,YIN Qi LAP TIME,YIN Qi ELAPSED TIME,Mariya IZAFATAVA POSITION,Mariya IZAFATAVA LAP TIME,Mariya IZAFATAVA ELAPSED TIME
4,14.76,14.76,3,14.66,,2,14.54,14.54,1,14.39,14.39,5,14.85,14.85
4,11.45,26.21,3,11.43,,2,11.44,25.98,1,11.44,25.83,5,11.47,26.32
4,10.79,37.00,3,10.81,,2,10.81,36.79,1,10.85,36.68,5,10.81,37.13
4,10.03,47.03,3,10.01,,1,9.93,46.72,2,10.15,46.83,5,10.08,47.21
4,9.95,56.98,3,9.99,,1,9.94,56.66,2,9.96,56.79,5,9.88,57.09
4,9.90,1:06.88,3,9.93,,1,9.95,1:06.61,2,9.93,1:06.72,5,9.94,1:07.03
3,9.96,1:16.84,2,9.91,,1,9.93,1:16.54,4,10.17,1:16.89,5,10.19,1:17.22
3,10.10,1:26.94,2,9.54,,1,9.62,1:26.16,4,10.11,1:27.00,5,10.67,1:27.89
0,,PHOTO,2,9.75,,1,9.76,1:35.92,0,,PHOTO,5,11.04,1:38.93
