Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Charles Ryan LEVEILLE POSITION,Charles Ryan LEVEILLE LAP TIME,Charles Ryan LEVEILLE ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME
2,8.66,8.66,3,8.80,8.80,6,9.26,9.26,5,9.18,9.18,1,8.62,8.62,4,8.82,8.82
3,11.97,20.64,1,11.52,20.32,6,11.83,21.10,5,11.91,21.09,4,12.11,20.73,2,11.81,20.63
3,11.73,32.38,2,11.98,32.31,5,11.43,32.53,6,11.66,32.76,4,11.66,32.40,1,11.49,32.12
2,11.19,43.57,1,11.13,43.45,5,11.35,43.88,6,11.12,43.88,4,11.29,43.69,3,11.46,43.58
3,10.42,53.99,1,10.32,53.78,4,10.27,54.16,5,10.45,54.33,6,11.26,54.95,2,10.29,53.88
3,10.73,1:04.72,1,10.88,1:04.66,4,10.79,1:04.95,5,10.74,1:05.07,6,10.87,1:05.83,2,10.80,1:04.68
4,11.12,1:15.85,2,11.04,1:15.70,1,10.72,1:15.67,5,10.94,1:16.02,6,10.90,1:16.73,3,11.06,1:15.75
2,10.97,1:26.82,3,11.22,1:26.93,4,11.35,1:27.02,5,11.21,1:27.23,6,10.90,1:27.64,1,11.00,1:26.75
3,10.13,1:36.96,2,9.84,1:36.77,4,10.13,1:37.16,5,10.03,1:37.26,6,11.76,1:39.40,1,10.02,1:36.77
4,9.66,1:46.63,2,9.69,1:46.46,3,9.37,1:46.54,5,9.37,1:46.64,6,12.08,1:51.49,1,9.56,1:46.34
4,9.30,1:55.93,2,9.22,1:55.69,5,9.44,1:55.98,3,9.22,1:55.86,6,12.61,2:04.10,1,9.30,1:55.64
4,9.27,2:05.21,1,9.01,2:04.70,5,9.30,2:05.29,3,9.31,2:05.18,6,13.18,2:17.29,2,9.26,2:04.90
4,9.42,2:14.63,1,9.63,2:14.34,5,9.42,2:14.72,3,9.36,2:14.54,6,12.74,2:30.03,2,9.46,2:14.36
2,9.93,2:24.552,0,,DQ,4,42.36,2:57.071,1,9.46,2:23.995,3,13.03,2:43.056,0,,DQ
