KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,6.68,6.68,2,6.77,6.77,3,6.89,6.89,4,7.04,7.04
1,8.94,15.62,3,8.97,15.74,2,8.83,15.72,4,8.90,15.94
1,8.49,24.11,3,8.55,24.29,2,8.50,24.22,4,8.50,24.44
3,8.73,32.84,2,8.49,32.78,1,8.53,32.75,4,8.53,32.97
1,8.85,41.683,0,,PEN,2,9.07,41.817,3,9.08,42.043
