Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME
6,11.47,11.47,3,11.19,11.19,4,11.35,11.35,5,11.37,11.37,1,10.96,10.96,2,11.03,11.03
6,13.66,25.13,3,13.49,24.68,4,13.47,24.82,5,13.57,24.94,1,13.47,24.43,2,13.52,24.55
6,12.93,38.06,3,12.95,37.63,4,12.92,37.74,5,12.91,37.85,1,12.92,37.35,2,12.93,37.48
6,12.79,50.85,3,12.86,50.49,4,12.89,50.63,5,12.88,50.73,2,12.91,50.26,1,12.76,50.24
6,11.64,1:02.49,3,11.62,1:02.11,5,11.68,1:02.31,4,11.54,1:02.27,1,11.64,1:01.90,2,11.77,1:02.01
6,9.96,1:12.45,4,10.08,1:12.19,5,10.04,1:12.35,3,9.85,1:12.12,1,10.05,1:11.95,2,9.95,1:11.96
6,9.50,1:21.95,4,9.46,1:21.65,5,9.33,1:21.68,3,9.27,1:21.39,2,9.23,1:21.18,1,9.06,1:21.02
6,9.28,1:31.23,5,9.13,1:30.78,4,8.86,1:30.54,3,8.95,1:30.34,2,9.07,1:30.25,1,9.11,1:30.13
6,9.49,1:40.72,5,9.19,1:39.97,4,9.14,1:39.68,3,9.16,1:39.50,2,9.16,1:39.41,1,9.18,1:39.31
6,9.90,1:50.62,5,9.22,1:49.19,4,9.18,1:48.86,2,9.13,1:48.63,3,9.31,1:48.72,1,9.29,1:48.60
6,10.46,2:01.08,5,9.45,1:58.64,3,9.69,1:58.55,1,9.25,1:57.88,2,9.55,1:58.27,4,9.96,1:58.56
6,10.94,2:12.02,5,9.88,2:08.52,2,8.99,2:07.54,1,9.48,2:07.36,3,9.46,2:07.73,4,9.69,2:08.25
6,11.35,2:23.37,5,9.60,2:18.12,1,9.17,2:16.71,2,9.58,2:16.94,3,9.46,2:17.19,4,9.80,2:18.05
5,11.39,2:34.754,4,9.96,2:28.075,1,9.08,2:25.787,2,9.58,2:26.521,0,,PEN,3,9.97,2:28.016
