HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
2,6.791,6.791,1,6.712,6.712,3,6.985,6.985,4,7.056,7.056
2,9.250,16.041,1,9.197,15.909,3,9.273,16.258,4,9.417,16.473
2,8.616,24.656,1,8.669,24.578,3,8.584,24.842,4,8.687,25.160
2,8.648,33.304,1,8.645,33.224,3,8.603,33.446,4,8.474,33.634
1,8.999,42.303,2,9.225,42.449,3,9.272,42.718,4,9.133,42.767
