Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
2,7.03,7.03,1,6.97,6.97,3,7.18,7.18,4,7.31,7.31
2,8.95,15.98,1,8.74,15.71,3,8.95,16.13,4,9.04,16.35
3,8.72,24.70,1,8.37,24.08,2,8.41,24.54,4,8.63,24.98
3,8.78,33.48,1,8.56,32.64,2,8.61,33.15,4,8.76,33.74
3,8.91,42.389,1,8.90,41.539,2,8.86,42.005,4,8.99,42.725
