Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
1,6.70,6.70,3,7.27,7.27,2,7.20,7.20,4,7.45,7.45
1,9.22,15.92,3,9.44,16.71,2,9.29,16.49,4,9.50,16.95
1,8.93,24.85,3,8.90,25.61,2,8.96,25.45,4,8.67,25.62
1,9.10,33.95,4,9.12,34.73,3,9.19,34.64,2,8.87,34.49
2,9.45,43.396,4,9.51,44.240,3,9.38,44.020,1,8.90,43.389
