SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME
3,13.98,13.98,4,14.02,,1,13.87,13.87,2,13.92,13.92,5,14.14,14.14
5,10.79,24.77,4,10.67,,1,10.64,24.51,3,10.68,24.60,2,10.40,24.54
5,10.16,34.93,2,10.03,,3,10.23,34.74,4,10.24,34.84,1,10.11,34.65
5,10.03,44.96,1,9.82,,3,9.98,44.72,4,10.00,44.84,2,9.97,44.62
5,9.90,54.86,1,10.00,,3,9.90,54.62,4,9.88,54.72,2,9.93,54.55
5,9.53,1:04.39,4,9.75,,1,9.37,1:03.99,3,9.47,1:04.19,2,9.57,1:04.12
5,9.40,1:13.79,4,9.46,,1,9.46,1:13.45,3,9.47,1:13.66,2,9.45,1:13.57
2,9.15,1:22.94,5,9.40,,1,9.43,1:22.88,4,9.47,1:23.13,3,9.51,1:23.08
1,8.96,1:31.901,4,9.68,,2,9.58,1:32.464,3,9.40,1:32.539,4,10.13,1:33.211
