VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,KONG Sangjeong POSITION,KONG Sangjeong LAP TIME,KONG Sangjeong ELAPSED TIME
2,7.53,7.53,1,7.35,7.35,4,7.96,7.96,3,7.92,7.92
2,9.54,17.07,1,9.53,16.88,4,10.03,17.99,3,9.59,17.51
2,9.04,26.11,1,9.15,26.03,4,9.55,27.54,3,9.10,26.61
2,9.61,35.72,1,9.47,35.50,4,9.67,37.21,3,9.14,35.75
3,9.84,45.556,1,9.46,44.954,4,9.94,47.150,2,9.34,45.082
