Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME
1,6.71,6.71,2,6.79,6.79,3,6.89,6.89,4,7.00,7.00
1,8.77,15.48,2,8.78,15.57,3,8.75,15.64,4,8.79,15.79
1,8.36,23.84,2,8.28,23.85,3,8.25,23.89,4,8.21,24.00
3,8.56,32.40,1,8.44,32.29,2,8.47,32.36,4,8.59,32.59
3,8.66,41.052,1,8.41,40.693,2,8.50,40.852,4,8.50,41.086
