Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Michael KOCH POSITION,Michael KOCH LAP TIME,Michael KOCH ELAPSED TIME,Balazs KNOCH POSITION,Balazs KNOCH LAP TIME,Balazs KNOCH ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
3,8.210,8.210,4,8.405,8.405,2,8.044,8.044,6,8.951,8.951,5,8.532,8.532,1,7.798,7.798
2,11.465,19.675,5,11.548,19.952,3,11.696,19.740,6,11.436,20.386,4,11.379,19.911,1,11.742,19.540
3,11.197,30.871,6,11.360,31.312,2,11.073,30.812,5,10.834,31.219,4,11.247,31.158,1,11.220,30.759
3,11.326,42.197,6,11.391,42.702,2,11.370,42.182,5,11.408,42.627,4,11.040,42.198,1,11.339,42.098
2,11.166,53.362,6,10.874,53.576,3,11.201,53.382,4,10.770,53.397,5,11.296,53.493,1,11.008,53.105
2,10.058,1:03.420,6,10.153,1:03.728,1,10.007,1:03.389,3,10.201,1:03.597,4,10.116,1:03.609,5,10.507,1:03.612
3,10.102,1:13.521,6,10.071,1:13.798,2,10.052,1:13.440,4,10.025,1:13.622,1,9.666,1:13.274,5,10.083,1:13.694
1,9.649,1:23.169,6,10.212,1:24.009,3,9.836,1:23.276,4,9.850,1:23.472,2,9.929,1:23.203,5,9.848,1:23.542
3,10.150,1:33.318,6,10.328,1:34.337,1,9.871,1:33.147,5,10.054,1:33.525,2,10.034,1:33.236,4,9.948,1:33.490
1,9.729,1:43.047,6,10.881,1:45.217,2,10.015,1:43.162,3,9.755,1:43.280,5,10.384,1:43.620,4,9.906,1:43.396
1,9.758,1:52.805,6,11.405,1:56.622,2,9.723,1:52.884,5,10.399,1:53.679,4,9.881,1:53.500,3,9.633,1:53.029
3,10.220,2:03.024,6,11.874,2:08.496,1,9.874,2:02.757,4,9.469,2:03.147,5,9.872,2:03.372,2,9.777,2:02.806
4,9.937,2:12.961,6,11.944,2:20.439,1,9.734,2:12.491,2,9.615,2:12.762,5,9.978,2:13.349,3,9.989,2:12.794
4,10.05,2:23.006,6,13.10,2:33.535,1,10.28,2:22.763,2,10.12,2:22.878,5,10.45,2:23.792,3,10.21,2:22.995
