HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
1,6.73,6.73,2,6.88,6.88,4,7.25,7.25,3,7.06,7.06,5,7.32,7.32
1,9.00,15.73,2,9.02,15.90,4,8.84,16.09,3,8.91,15.97,5,9.02,16.34
1,8.48,24.21,2,8.35,24.25,4,8.33,24.42,3,8.32,24.29,5,8.47,24.81
1,8.60,32.81,2,8.74,32.99,4,8.71,33.13,3,8.71,33.00,5,8.75,33.56
0,,PHOTO,1,8.85,41.84,4,8.81,41.964,0,,PHOTO,5,8.89,42.543
