Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
6,13.89,13.89,4,13.50,13.50,2,13.17,13.17,3,13.31,13.31,1,13.15,13.15,5,13.50,13.50
6,17.60,31.49,4,17.49,30.99,2,17.55,30.72,1,17.22,30.53,3,17.71,30.86,5,17.68,31.18
6,14.65,46.14,5,14.87,45.86,2,14.86,45.58,1,14.91,45.44,4,14.89,45.75,3,14.53,45.71
6,12.32,58.46,4,12.30,58.16,3,12.47,58.05,2,12.45,57.89,5,12.43,58.18,1,12.02,57.73
6,11.13,1:09.59,3,10.96,1:09.12,4,11.24,1:09.29,1,11.10,1:08.99,5,11.26,1:09.44,2,11.29,1:09.02
4,10.26,1:19.85,3,10.63,1:19.75,5,10.60,1:19.89,1,10.61,1:19.60,6,10.62,1:20.06,2,10.58,1:19.60
4,9.62,1:29.47,3,9.60,1:29.35,5,9.66,1:29.55,2,9.68,1:29.28,6,9.63,1:29.69,1,9.58,1:29.18
4,9.53,1:39.00,1,9.26,1:38.61,5,9.56,1:39.11,3,9.57,1:38.85,6,9.56,1:39.25,2,9.58,1:38.76
4,9.04,1:48.04,1,9.00,1:47.61,5,9.01,1:48.12,3,8.99,1:47.84,6,8.98,1:48.23,2,8.97,1:47.73
4,8.84,1:56.88,1,8.92,1:56.53,5,8.80,1:56.92,3,8.90,1:56.74,6,8.83,1:57.06,2,8.92,1:56.65
5,9.00,2:05.88,1,9.02,2:05.55,6,9.06,2:05.98,3,8.98,2:05.72,4,8.74,2:05.80,2,8.97,2:05.62
3,9.13,2:15.01,1,9.19,2:14.74,5,9.10,2:15.08,2,9.22,2:14.94,4,9.26,2:15.06,6,19.08,2:24.70
2,9.25,2:24.26,3,9.52,2:24.26,5,9.33,2:24.41,4,9.41,2:24.35,1,9.04,2:24.10,6,40.85,3:05.55
2,9.36,2:33.617,4,9.64,2:33.892,3,9.48,2:33.889,5,9.71,2:34.052,1,9.37,2:33.465,0,,notime
