Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,9.27,9.27,4,9.49,9.49,3,9.40,9.40,5,9.71,9.71,1,9.12,9.12,6,9.78,9.78
3,12.69,21.96,5,12.88,22.37,4,12.83,22.23,6,12.80,22.51,2,12.70,21.82,1,11.90,21.68
3,11.44,33.40,5,11.15,33.52,6,11.42,33.65,4,10.99,33.50,2,11.45,33.27,1,11.48,33.16
4,10.41,43.81,1,9.94,43.46,6,10.48,44.13,5,10.41,43.91,2,10.31,43.58,3,10.52,43.68
4,10.41,54.22,1,10.48,53.94,2,9.85,53.98,6,10.54,54.45,5,10.77,54.35,3,10.42,54.10
5,9.87,1:04.09,2,9.94,1:03.88,1,9.81,1:03.79,6,9.79,1:04.24,4,9.74,1:04.09,3,9.90,1:04.00
6,9.97,1:14.06,1,9.66,1:13.54,2,9.85,1:13.64,5,9.68,1:13.92,4,9.75,1:13.84,3,9.72,1:13.72
6,9.96,1:24.02,1,10.03,1:23.57,2,10.01,1:23.65,5,9.99,1:23.91,3,9.92,1:23.76,4,10.06,1:23.78
6,10.02,1:34.04,1,9.94,1:33.51,2,9.98,1:33.63,3,9.82,1:33.73,4,10.06,1:33.82,5,10.16,1:33.94
5,9.54,1:43.58,2,9.72,1:43.23,3,9.79,1:43.42,1,9.48,1:43.21,4,9.70,1:43.52,6,9.68,1:43.62
5,9.21,1:52.79,2,9.18,1:52.41,3,9.18,1:52.60,1,9.14,1:52.35,4,9.17,1:52.69,6,9.40,1:53.02
5,9.06,2:01.85,2,9.15,2:01.56,3,9.09,2:01.69,1,9.14,2:01.49,4,9.08,2:01.77,6,9.15,2:02.17
5,9.24,2:11.09,2,9.24,2:10.80,3,9.27,2:10.96,1,9.23,2:10.72,4,9.26,2:11.03,6,9.36,2:11.53
0,,PEN,2,9.41,2:20.208,4,33.35,2:44.304,1,9.40,2:20.119,0,,PEN,3,9.96,2:21.483
