Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
1,8.95,8.95,2,9.03,9.03,3,9.20,9.20,4,9.24,9.24,5,9.43,9.43
1,14.77,23.72,2,14.81,23.84,3,14.76,23.96,4,14.78,24.02,5,14.79,24.22
1,14.34,38.06,2,14.33,38.17,3,14.35,38.31,4,14.39,38.41,5,14.42,38.64
1,13.66,51.72,2,13.63,51.80,3,13.69,52.00,5,13.70,52.11,4,13.46,52.10
1,11.69,1:03.41,2,11.70,1:03.50,3,11.61,1:03.61,5,11.60,1:03.71,4,11.56,1:03.66
2,10.92,1:14.33,3,10.84,1:14.34,5,10.90,1:14.51,4,10.70,1:14.41,1,10.59,1:14.25
4,10.09,1:24.42,3,10.00,1:24.34,5,10.02,1:24.53,1,9.70,1:24.11,2,10.03,1:24.28
4,10.06,1:34.48,3,10.05,1:34.39,5,10.05,1:34.58,1,10.06,1:34.17,2,10.03,1:34.31
3,9.87,1:44.35,4,10.01,1:44.40,5,9.86,1:44.44,1,9.96,1:44.13,2,9.97,1:44.28
3,9.63,1:53.98,5,9.89,1:54.29,4,9.72,1:54.16,2,9.67,1:53.80,1,9.50,1:53.78
3,9.63,2:03.61,5,12.71,2:07.00,4,9.80,2:03.96,2,9.71,2:03.51,1,9.67,2:03.45
3,9.55,2:13.16,5,12.47,2:19.47,4,9.33,2:13.29,1,9.50,2:13.01,2,9.58,2:13.03
3,9.78,2:22.94,5,11.99,2:31.46,4,9.81,2:23.10,2,9.85,2:22.86,1,9.82,2:22.85
3,14.01,2:36.944,4,10.96,2:42.417,2,10.14,2:33.236,5,19.72,2:42.572,1,9.89,2:32.736
