Massimo GURINI POSITION,Massimo GURINI LAP TIME,Massimo GURINI ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,7.02,7.02,2,7.16,7.16,3,7.25,7.25,4,7.47,7.47
3,9.60,16.62,1,9.14,16.30,2,9.21,16.46,4,9.30,16.77
3,9.06,25.68,1,8.65,24.95,2,8.56,25.02,4,8.98,25.75
4,9.32,35.00,1,8.64,33.59,2,8.65,33.67,3,8.90,34.65
4,9.48,44.476,1,8.84,42.426,2,8.80,42.464,3,9.14,43.783
