Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
3,13.260,13.260,4,13.269,13.269,1,12.801,12.801,2,12.967,12.967
3,9.955,23.215,4,10.016,23.285,2,10.087,22.887,1,9.866,22.832
4,9.843,33.057,3,9.768,33.053,2,9.985,32.872,1,9.761,32.592
3,9.364,42.421,4,9.536,42.588,2,9.523,42.394,1,9.740,42.332
3,9.522,51.942,4,9.583,52.171,2,9.463,51.857,1,9.505,51.837
2,9.301,1:01.243,4,9.267,1:01.438,3,9.475,1:01.331,1,9.347,1:01.183
3,9.322,1:10.564,4,9.299,1:10.736,2,9.219,1:10.549,1,9.128,1:10.311
3,9.204,1:19.768,4,9.429,1:20.165,2,9.158,1:19.707,1,9.060,1:19.370
2,9.33,1:29.090,4,9.87,1:30.033,3,9.44,1:29.147,1,9.56,1:28.925
