LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
3,7.13,7.13,1,6.91,6.91,4,7.19,7.19,2,7.07,7.07
3,9.31,16.44,1,9.31,16.22,4,9.37,16.56,2,9.25,16.32
3,8.64,25.08,1,8.67,24.89,4,8.65,25.21,2,8.70,25.02
2,8.79,33.87,1,8.93,33.82,3,8.78,33.99,4,9.00,34.02
1,8.66,42.521,3,9.06,42.873,2,8.77,42.751,4,8.92,42.935
