Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
2,13.22,13.22,3,13.37,13.37,4,13.51,13.51,1,13.17,13.17
2,10.15,23.37,3,10.08,23.45,4,10.06,23.57,1,10.11,23.28
2,10.53,33.90,3,10.56,34.01,4,10.49,34.06,1,10.52,33.80
2,9.95,43.85,3,9.93,43.94,4,9.97,44.03,1,9.95,43.75
2,10.13,53.98,3,10.15,54.09,4,10.17,54.20,1,10.13,53.88
1,10.11,1:04.09,3,10.23,1:04.32,4,10.24,1:04.44,2,10.24,1:04.12
1,9.73,1:13.82,3,9.97,1:14.29,4,10.12,1:14.56,2,9.77,1:13.89
2,9.92,1:23.74,3,10.08,1:24.37,4,10.22,1:24.78,1,9.75,1:23.64
2,9.91,1:33.647,3,10.39,1:34.756,4,10.72,1:35.493,1,9.92,1:33.554
