LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME
2,8.03,8.03,5,8.47,8.47,4,8.21,8.21,1,8.01,8.01,3,8.03,8.03,6,8.70,8.70
3,12.02,20.05,6,11.95,20.42,4,11.93,20.14,2,11.89,19.90,1,11.71,19.74,5,11.47,20.17
2,10.90,30.95,6,11.22,31.64,5,11.32,31.46,4,11.31,31.21,3,11.34,31.08,1,10.64,30.81
1,10.70,41.65,5,10.44,42.08,6,10.76,42.22,4,10.69,41.90,3,10.73,41.81,2,10.96,41.77
3,10.40,52.05,2,9.95,52.03,6,10.20,52.42,4,10.22,52.12,5,10.39,52.20,1,10.11,51.88
1,9.80,1:01.85,3,10.39,1:02.42,5,10.37,1:02.79,4,10.34,1:02.46,6,11.60,1:03.80,2,10.42,1:02.30
1,9.84,1:11.69,4,9.80,1:12.22,3,9.29,1:12.08,5,9.76,1:12.22,6,8.53,1:12.33,2,9.69,1:11.99
1,9.37,1:21.06,4,9.37,1:21.59,2,9.34,1:21.42,5,9.54,1:21.76,6,9.53,1:21.86,3,9.46,1:21.45
1,9.46,1:30.52,4,9.52,1:31.11,2,9.31,1:30.73,5,9.42,1:31.18,6,9.40,1:31.26,3,9.44,1:30.89
1,9.30,1:39.82,4,9.27,1:40.38,2,9.19,1:39.92,5,9.23,1:40.41,3,9.00,1:40.26,6,24.45,1:55.34
1,9.07,1:48.89,5,9.14,1:49.52,2,9.25,1:49.17,4,8.94,1:49.35,3,9.05,1:49.31,6,31.53,2:26.87
2,9.11,1:58.00,3,8.75,1:58.27,1,8.05,1:57.22,4,9.04,1:58.39,5,9.47,1:58.78,6,11.76,2:38.63
1,8.80,2:06.80,3,8.86,2:07.13,2,9.82,2:07.04,4,9.07,2:07.46,5,9.56,2:08.34,6,10.42,2:49.05
3,9.60,2:16.394,1,9.03,2:16.157,2,9.21,2:16.244,4,9.00,2:16.453,5,9.89,2:18.221,6,10.50,2:59.549
