GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,13.91,13.91,2,13.76,13.76,4,14.04,14.04,1,13.71,13.71,5,14.13,14.13
1,9.92,23.83,3,10.30,24.06,4,10.12,24.16,2,10.21,23.92,5,10.16,24.29
1,9.74,33.57,3,9.75,33.81,4,9.78,33.94,2,9.75,33.67,5,9.75,34.04
1,9.85,43.42,2,9.62,43.43,4,9.65,43.59,3,9.87,43.54,5,9.68,43.72
2,9.70,53.12,1,9.53,52.96,4,9.76,53.35,3,9.68,53.22,5,9.73,53.45
2,9.67,1:02.79,1,9.74,1:02.70,4,9.64,1:02.99,3,9.66,1:02.88,5,9.68,1:03.13
2,9.67,1:12.46,1,9.64,1:12.34,4,9.60,1:12.59,3,9.69,1:12.57,5,9.63,1:12.76
3,9.51,1:21.97,2,9.57,1:21.91,1,9.09,1:21.68,4,9.58,1:22.15,5,9.49,1:22.25
3,,1:31.577,2,,1:31.554,1,9.32,1:30.975,4,9.61,1:31.740,5,9.66,1:31.896
