Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Anton SIMON POSITION,Anton SIMON LAP TIME,Anton SIMON ELAPSED TIME,Dimitry NAZARENKO POSITION,Dimitry NAZARENKO LAP TIME,Dimitry NAZARENKO ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,8.130,8.130,5,8.650,8.650,4,8.560,8.560,3,8.420,8.420,6,9.010,9.010,2,8.310,8.310
1,11.830,19.970,2,11.420,20.070,4,11.600,20.160,6,11.750,20.180,5,11.150,20.160,3,11.830,20.140
2,10.810,30.780,1,10.640,30.720,4,10.910,31.070,6,10.960,31.140,5,10.940,31.110,3,10.890,31.040
4,10.880,41.660,1,10.500,41.220,3,10.380,41.460,5,10.590,41.740,6,10.760,41.870,2,10.210,41.250
3,9.900,51.560,2,10.270,51.490,4,10.240,51.710,5,10.000,51.740,6,10.230,52.100,1,10.230,51.490
2,9.760,1:01.330,3,9.860,1:01.350,5,9.900,1:01.620,4,9.800,1:01.550,6,10.200,1:02.310,1,9.770,1:01.260
3,9.680,1:11.020,2,9.600,1:10.950,5,9.860,1:11.480,4,9.730,1:11.280,6,10.580,1:12.890,1,9.680,1:10.950
3,10.130,1:21.150,2,10.110,1:21.070,5,9.910,1:21.400,4,10.100,1:21.390,6,10.900,1:23.800,1,10.100,1:21.050
3,10.010,1:31.160,1,9.960,1:31.040,5,10.250,1:31.650,4,10.080,1:31.470,6,11.200,1:35.000,2,9.990,1:31.040
3,10.060,1:41.230,2,9.740,1:40.780,4,9.570,1:41.230,5,10.320,1:41.790,6,12.080,1:47.090,1,9.720,1:40.760
3,9.490,1:50.720,1,9.520,1:50.300,4,11.180,1:52.420,5,10.800,1:52.590,6,12.210,1:59.310,2,9.770,1:50.540
3,9.770,2:00.490,1,9.640,1:59.940,4,10.960,2:03.380,5,11.310,2:03.900,6,12.250,2:11.560,2,9.600,2:00.140
3,10.080,2:10.580,1,9.920,2:09.870,4,11.210,2:14.590,5,12.380,2:16.290,6,12.130,2:23.690,2,9.920,2:10.060
3,10.460,2:21.040,1,10.340,2:20.210,4,11.560,2:26.160,5,12.570,2:28.860,6,12.690,2:36.390,2,10.220,2:20.290
