ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME
2,6.92,6.92,1,6.68,,3,7.02,7.02,4,7.16,7.16,5,7.34,7.34
2,8.69,15.61,1,8.74,,3,8.67,15.69,4,8.86,16.02,5,8.80,16.14
2,8.40,24.01,1,8.44,,3,8.37,24.06,5,8.54,24.56,4,8.32,24.46
1,8.45,32.46,3,8.70,,2,8.48,32.54,5,8.68,33.24,4,8.43,32.89
1,8.84,41.30,2,8.97,,5,24.97,57.51,4,8.79,42.03,3,8.69,41.58
