HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
1,9.73,9.73,2,9.86,9.86,4,10.32,10.32,3,10.12,10.12,5,10.47,10.47,6,10.62,10.62
1,14.46,24.19,2,14.49,24.35,4,14.41,24.73,3,14.45,24.57,5,14.41,24.88,6,14.49,25.11
1,12.71,36.90,2,12.70,37.05,4,12.64,37.37,3,12.65,37.22,5,12.60,37.48,6,12.50,37.61
1,12.24,49.14,2,12.21,49.26,4,12.31,49.68,3,12.31,49.53,5,12.34,49.82,6,12.32,49.93
2,11.31,1:00.45,3,11.29,1:00.55,4,11.02,1:00.70,1,10.87,1:00.40,5,10.96,1:00.78,6,11.01,1:00.94
3,10.47,1:10.92,4,10.49,1:11.04,5,10.45,1:11.15,2,10.44,1:10.84,1,10.02,1:10.80,6,10.37,1:11.31
3,9.84,1:20.76,4,9.84,1:20.88,1,9.48,1:20.63,5,10.21,1:21.05,2,9.90,1:20.70,6,9.82,1:21.13
3,9.95,1:30.71,4,9.95,1:30.83,1,9.91,1:30.54,5,9.91,1:30.96,2,9.91,1:30.61,6,9.94,1:31.07
2,9.65,1:40.36,3,9.65,1:40.48,1,9.66,1:40.20,4,9.65,1:40.61,6,16.96,1:47.57,5,9.71,1:40.78
2,9.18,1:49.54,3,9.15,1:49.63,1,9.28,1:49.48,4,9.16,1:49.77,6,31.83,2:19.40,5,9.17,1:49.95
2,8.93,1:58.47,3,9.05,1:58.68,1,8.98,1:58.46,4,9.00,1:58.77,6,15.81,2:35.21,5,9.05,1:59.00
1,8.79,2:07.26,4,9.07,2:07.75,2,8.93,2:07.39,3,8.83,2:07.60,6,12.79,2:48.00,5,9.08,2:08.08
1,8.87,2:16.13,4,9.33,2:17.08,2,8.89,2:16.28,3,9.02,2:16.62,6,12.35,3:00.35,5,9.22,2:17.30
1,9.08,2:25.210,4,9.57,2:26.647,2,9.04,2:25.311,3,9.31,2:25.928,6,13.15,3:13.497,5,9.50,2:26.801
