SUN Xiaowan POSITION,SUN Xiaowan LAP TIME,SUN Xiaowan ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
1,13.29,13.29,2,13.58,13.58,5,19.61,19.61,3,13.59,13.59,4,13.73,13.73
1,10.41,23.70,2,10.30,23.89,5,10.71,30.32,3,10.42,24.01,4,10.38,24.12
2,10.30,34.00,1,10.01,33.90,5,10.18,40.50,3,10.13,34.15,4,10.22,34.34
2,9.83,43.84,1,9.78,43.68,5,10.42,50.93,4,9.86,44.02,3,9.50,43.85
2,9.63,53.47,1,9.78,53.46,5,10.78,1:01.71,4,9.71,53.73,3,9.80,53.65
2,9.62,1:03.10,1,9.50,1:02.97,5,10.78,1:12.50,3,9.50,1:03.24,4,10.05,1:03.71
3,9.75,1:12.86,1,9.67,1:12.65,5,11.21,1:23.71,2,9.49,1:12.74,4,10.93,1:14.64
3,9.69,1:22.55,2,9.85,1:22.50,5,11.41,1:35.12,1,9.56,1:22.31,4,11.36,1:26.00
3,10.25,1:32.793,2,10.22,1:32.718,5,12.28,1:47.399,1,10.01,1:32.317,4,11.76,1:37.758
