CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
5,11.43,11.43,4,11.15,11.15,3,10.99,10.99,1,10.72,10.72,2,10.88,10.88
5,17.88,29.31,4,17.88,29.03,3,17.92,28.91,1,17.81,28.53,2,17.83,28.71
5,16.06,45.37,4,16.08,45.11,3,15.98,44.89,1,16.01,44.54,2,16.00,44.71
5,15.17,1:00.54,4,15.21,1:00.32,3,15.26,1:00.15,1,15.36,59.90,2,15.29,1:00.00
5,15.50,1:16.04,4,15.49,1:15.81,3,15.51,1:15.66,1,15.43,1:15.33,2,15.49,1:15.49
4,14.32,1:30.36,5,14.59,1:30.40,2,14.59,1:30.25,1,14.82,1:30.15,3,14.78,1:30.27
1,10.21,1:40.57,5,10.53,1:40.93,4,10.56,1:40.81,3,10.63,1:40.78,2,10.49,1:40.76
2,10.09,1:50.66,4,10.00,1:50.93,1,9.70,1:50.51,5,10.29,1:51.07,3,10.02,1:50.78
1,9.78,2:00.44,4,9.85,2:00.78,2,10.05,2:00.56,5,9.81,2:00.88,3,9.88,2:00.66
1,9.94,2:10.38,4,9.92,2:10.70,2,9.92,2:10.48,5,9.94,2:10.82,3,9.94,2:10.60
1,9.70,2:20.08,4,9.83,2:20.53,2,9.92,2:20.40,5,9.82,2:20.64,3,9.82,2:20.42
1,9.42,2:29.50,3,9.57,2:30.10,4,10.03,2:30.43,5,9.83,2:30.47,2,9.52,2:29.94
1,9.56,2:39.06,3,9.74,2:39.84,5,10.27,2:40.70,4,9.92,2:40.39,2,9.84,2:39.78
1,10.15,2:49.209,2,9.85,2:49.684,5,10.65,2:51.345,4,10.45,2:50.838,3,10.12,2:49.895
