PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Gabriella HACHEM POSITION,Gabriella HACHEM LAP TIME,Gabriella HACHEM ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,HAN Soo Lim POSITION,HAN Soo Lim LAP TIME,HAN Soo Lim ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,8.69,8.69,3,8.95,8.95,2,8.82,8.82,7,9.51,9.51,5,9.21,9.21,6,9.31,9.31,4,9.09,9.09,8,9.69,9.69
2,11.88,20.57,1,11.61,20.56,3,11.76,20.58,7,11.64,21.15,6,11.74,20.95,4,11.40,20.71,5,11.71,20.80,8,11.60,21.29
3,10.22,30.79,1,10.10,30.66,2,10.19,30.77,7,10.06,31.21,6,10.13,31.08,4,10.18,30.89,5,10.15,30.95,8,10.03,31.32
1,10.15,40.94,3,10.38,41.04,2,10.26,41.03,7,10.46,41.67,6,10.44,41.52,4,10.38,41.27,5,10.44,41.39,8,10.45,41.77
1,10.74,51.68,3,10.81,51.85,2,10.74,51.77,7,10.70,52.37,6,10.73,52.25,4,10.76,52.03,5,10.75,52.14,8,10.69,52.46
1,10.88,1:02.56,3,10.92,1:02.77,2,10.89,1:02.66,7,10.90,1:03.27,6,10.86,1:03.11,4,10.87,1:02.90,5,10.86,1:03.00,8,10.87,1:03.33
2,10.62,1:13.18,3,10.47,1:13.24,1,10.47,1:13.13,7,10.47,1:13.74,6,10.50,1:13.61,4,10.50,1:13.40,5,10.49,1:13.49,8,10.52,1:13.85
2,9.95,1:23.13,3,10.01,1:23.25,1,9.92,1:23.05,7,9.94,1:23.68,6,9.99,1:23.60,4,9.98,1:23.38,5,10.00,1:23.49,8,9.96,1:23.81
1,9.55,1:32.68,3,9.68,1:32.93,2,9.79,1:32.84,4,9.30,1:32.98,7,9.64,1:33.24,5,9.64,1:33.02,6,9.69,1:33.18,8,9.55,1:33.36
2,9.61,1:42.29,5,9.59,1:42.52,3,9.58,1:42.42,1,9.12,1:42.10,7,9.45,1:42.69,4,9.44,1:42.46,6,9.46,1:42.64,8,9.50,1:42.86
2,9.37,1:51.66,5,9.66,1:52.18,4,9.57,1:51.99,1,9.42,1:51.52,8,10.00,1:52.69,3,9.30,1:51.76,6,9.60,1:52.24,7,9.58,1:52.44
2,9.54,2:01.20,5,9.88,2:02.06,4,9.62,2:01.61,1,9.55,2:01.07,8,9.71,2:02.40,3,9.53,2:01.29,6,10.01,2:02.25,7,9.90,2:02.34
3,9.81,2:11.01,5,10.15,2:12.21,4,9.77,2:11.38,1,9.68,2:10.75,7,10.03,2:12.43,2,9.71,2:11.00,6,10.14,2:12.39,8,10.17,2:12.51
3,10.32,2:21.33,6,10.38,2:22.575,4,10.08,2:21.46,1,9.89,2:20.64,5,9.86,2:22.274,2,9.95,2:20.95,7,10.28,2:22.658,8,10.39,2:22.882
