J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,SONG Seung-Woo POSITION,SONG Seung-Woo LAP TIME,SONG Seung-Woo ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Antoine GELINAS- BEAULIEU POSITION,Antoine GELINAS- BEAULIEU LAP TIME,Antoine GELINAS- BEAULIEU ELAPSED TIME
1,12.14,12.14,2,12.25,12.25,3,12.46,12.46,0,,
2,9.49,21.63,1,9.30,21.55,3,9.35,21.82,4,0.00,21.84
2,9.17,30.81,1,9.18,30.73,4,9.11,30.93,3,9.06,30.91
2,9.37,40.19,1,9.35,40.09,3,9.34,40.27,4,9.38,40.29
2,9.25,49.44,1,9.20,49.29,4,9.27,49.55,3,9.17,49.47
1,8.97,58.41,2,9.29,58.59,4,9.25,58.81,3,9.14,58.61
1,8.77,1:07.19,2,8.96,1:07.56,4,8.92,1:07.73,3,9.05,1:07.67
1,8.88,1:16.07,2,8.90,1:16.46,4,8.85,1:16.58,3,8.82,1:16.49
1,9.24,1:25.304,0,,DQ,3,9.18,1:25.759,2,9.11,1:25.599
