KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
1,9.92,9.92,2,10.09,10.09,3,10.23,10.23,5,10.43,10.43,4,10.29,10.29,6,10.63,
1,13.28,23.20,3,13.33,23.42,4,13.27,23.50,5,13.25,23.68,2,13.03,23.32,6,13.16,
3,11.87,35.07,2,11.52,34.94,5,11.83,35.33,1,11.18,34.86,4,11.91,35.23,6,11.65,
3,10.85,45.92,2,10.87,45.81,5,10.77,46.10,1,10.86,45.72,4,10.70,45.93,6,10.81,
4,10.43,56.35,3,10.45,56.26,5,10.39,56.49,2,10.45,56.17,1,10.11,56.04,6,10.33,
4,10.13,1:06.48,2,10.01,1:06.27,5,10.10,1:06.59,3,10.18,1:06.35,1,10.16,1:06.20,6,10.14,
4,9.84,1:16.32,2,9.85,1:16.12,5,9.84,1:16.43,3,9.89,1:16.24,1,9.81,1:16.01,6,9.81,
4,9.80,1:26.12,3,9.88,1:26.00,5,9.81,1:26.24,2,9.72,1:25.96,1,9.89,1:25.90,6,9.88,
2,9.33,1:35.45,4,9.56,1:35.56,5,9.41,1:35.65,1,9.39,1:35.35,3,9.57,1:35.47,6,9.34,
1,9.17,1:44.62,4,9.35,1:44.91,5,9.38,1:45.03,2,9.38,1:44.73,3,9.37,1:44.84,6,9.35,
1,9.39,1:54.01,4,9.37,1:54.28,5,9.39,1:54.42,2,9.33,1:54.06,3,9.35,1:54.19,6,9.42,
1,9.06,2:03.07,4,9.16,2:03.44,6,9.23,2:03.65,2,9.14,2:03.20,3,9.15,2:03.34,5,9.01,
1,8.95,2:12.02,4,9.02,2:12.46,6,9.10,2:12.75,2,8.92,2:12.12,3,9.05,2:12.39,5,8.98,
1,9.09,2:21.11,5,11.21,2:23.673,4,9.34,2:22.097,2,9.04,2:21.16,3,9.31,2:21.70,4,9.28,
