Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
2,13.89,13.89,1,13.88,13.88,3,13.98,13.98,4,14.12,14.12
2,10.52,24.41,1,10.46,24.34,3,10.50,24.48,4,10.44,24.56
3,10.44,34.85,1,10.42,34.76,2,10.30,34.78,4,10.40,34.96
2,10.24,45.09,1,10.26,45.02,4,33.91,1:08.69,3,10.15,45.11
2,9.83,54.92,3,10.01,55.03,4,17.49,1:26.18,1,9.69,54.80
2,9.90,1:04.82,3,9.92,1:04.95,4,12.44,1:38.62,1,9.93,1:04.73
2,10.15,1:14.97,3,10.10,1:15.05,4,11.89,1:50.51,1,10.13,1:14.86
2,10.15,1:25.12,3,10.18,1:25.23,4,11.60,2:02.11,1,10.26,1:25.12
1,9.94,1:35.052,2,9.92,1:35.147,4,16.36,2:18.462,3,10.23,1:35.344
