Denis BELLOTTI POSITION,Denis BELLOTTI LAP TIME,Denis BELLOTTI ELAPSED TIME,Ganbat JARGALANCHULUUN POSITION,Ganbat JARGALANCHULUUN LAP TIME,Ganbat JARGALANCHULUUN ELAPSED TIME,JURKIEWICZ Przemyslaw POSITION,JURKIEWICZ Przemyslaw LAP TIME,JURKIEWICZ Przemyslaw ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
3,9.975,9.975,4,10.123,10.123,1,9.887,9.887,2,9.918,9.918,5,10.395,10.395
4,12.831,22.806,1,12.464,22.586,2,12.792,22.678,3,12.815,22.733,5,12.709,23.104
3,11.709,34.514,1,11.647,34.233,2,11.780,34.458,5,12.118,34.850,4,11.742,34.845
4,11.784,46.298,3,12.018,46.251,2,11.760,46.217,1,11.281,46.130,5,11.671,46.516
1,11.539,57.836,2,11.593,57.843,3,11.716,57.933,4,11.922,58.052,5,11.615,58.131
3,11.736,1:09.571,2,11.718,1:09.560,1,11.624,1:09.556,4,11.633,1:09.685,5,11.665,1:09.795
3,11.834,1:21.405,2,11.802,1:21.362,1,11.729,1:21.285,4,11.794,1:21.478,5,11.858,1:21.652
2,10.808,1:32.212,5,11.743,1:33.104,3,11.063,1:32.348,1,10.468,1:31.945,4,11.381,1:33.033
2,9.444,1:41.656,5,11.453,1:44.557,3,9.412,1:41.759,1,9.571,1:41.516,4,10.088,1:43.121
2,9.512,1:51.167,5,11.707,1:56.264,3,9.599,1:51.357,1,9.573,1:51.089,4,10.182,1:53.302
2,9.574,2:00.741,5,12.217,2:08.481,3,9.800,2:01.156,1,9.649,2:00.737,4,10.855,2:04.157
1,9.906,2:10.646,5,13.705,2:22.186,3,9.918,2:11.074,2,9.974,2:10.711,4,11.345,2:15.501
1,10.081,2:20.727,5,12.719,2:34.904,3,10.228,2:21.302,2,10.110,2:20.821,4,12.201,2:27.702
1,10.36,2:31.078,5,13.24,2:48.135,3,10.39,2:31.688,2,10.49,2:31.304,4,13.65,2:41.344
