Raphaele LEMIEUX POSITION,Raphaele LEMIEUX LAP TIME,Raphaele LEMIEUX ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Kristen BIONDO POSITION,Kristen BIONDO LAP TIME,Kristen BIONDO ELAPSED TIME
2,9.203,9.203,6,9.586,9.586,4,9.428,9.428,1,9.179,9.179,3,9.377,9.377,5,9.429,9.429
1,11.602,20.805,6,11.671,21.256,3,11.400,20.828,5,11.852,21.031,2,11.434,20.810,4,11.491,20.919
1,10.760,31.565,6,10.653,31.908,2,10.853,31.680,4,10.743,31.773,3,10.933,31.742,5,10.906,31.824
1,10.350,41.914,5,10.695,42.603,2,10.475,42.155,3,10.532,42.304,4,10.620,42.362,6,10.822,42.645
2,10.705,52.619,5,10.387,52.989,3,10.479,52.633,4,10.466,52.770,1,10.066,52.428,6,10.434,53.078
3,10.352,1:02.970,5,10.278,1:03.267,1,10.267,1:02.900,4,10.283,1:03.053,2,10.501,1:02.928,6,10.554,1:03.632
2,10.605,1:13.575,5,10.633,1:13.900,3,10.702,1:13.601,4,10.616,1:13.668,1,10.575,1:13.503,6,10.673,1:14.305
3,10.453,1:24.028,5,10.406,1:24.305,1,10.263,1:23.864,2,10.345,1:24.013,4,10.533,1:24.036,6,10.619,1:24.923
2,10.517,1:34.544,5,10.709,1:35.013,4,10.824,1:34.687,1,10.527,1:34.539,3,10.625,1:34.661,6,10.374,1:35.297
2,10.299,1:44.843,5,10.174,1:45.187,3,10.214,1:44.901,1,10.191,1:44.730,4,10.357,1:45.018,6,10.965,1:46.262
5,10.601,1:55.444,4,10.123,1:55.310,2,10.324,1:55.224,1,10.446,1:55.176,3,10.257,1:55.274,6,11.181,1:57.443
4,10.098,2:05.542,3,10.199,2:05.508,5,10.408,2:05.632,1,9.964,2:05.140,2,10.181,2:05.455,6,11.430,2:08.872
5,10.377,2:15.919,2,10.235,2:15.743,3,10.206,2:15.838,1,10.479,2:15.618,4,10.397,2:15.851,6,11.780,2:20.651
4,10.57,2:26.482,1,10.25,2:25.993,5,10.72,2:26.555,2,10.63,2:26.248,3,10.48,2:26.331,6,12.37,2:33.019
