Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
3,15.04,15.04,4,15.12,15.12,2,14.90,14.90,1,14.78,14.78
4,11.87,26.91,1,11.42,26.54,3,11.90,26.80,2,11.88,26.66
4,10.37,37.28,3,10.66,37.20,1,10.33,37.13,2,10.49,37.15
1,9.79,47.07,4,10.23,47.43,3,10.21,47.34,2,10.03,47.18
2,10.19,57.26,3,9.96,57.39,4,10.06,57.40,1,10.05,57.23
4,9.81,1:07.07,1,9.27,1:06.66,3,9.47,1:06.87,2,9.54,1:06.77
4,9.44,1:16.51,1,9.21,1:15.87,3,9.20,1:16.07,2,9.17,1:15.94
4,9.50,1:26.01,1,9.22,1:25.09,3,9.19,1:25.26,2,9.24,1:25.18
4,9.75,1:35.758,1,9.37,1:34.455,3,9.28,1:34.535,2,9.31,1:34.483
