SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
1,6.600,6.600,2,6.820,6.820,3,6.870,6.870,4,7.100,7.100
1,8.950,15.550,2,8.910,15.740,4,9.960,16.840,3,9.040,16.140
1,8.660,24.210,3,8.720,24.470,2,7.430,24.270,4,8.690,24.830
2,8.840,33.050,3,8.810,33.280,1,8.710,32.990,4,8.450,33.290
2,9.220,42.280,4,9.150,42.430,3,9.300,42.290,1,8.950,42.240
