van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME
4,13.80,13.80,3,13.80,13.80,2,13.74,13.74,1,13.73,13.73
2,10.47,24.27,4,10.50,24.30,3,10.55,24.29,1,10.45,24.18
2,10.42,34.69,3,10.49,34.79,4,10.59,34.88,1,10.42,34.60
2,10.55,45.24,3,10.46,45.25,4,10.42,45.30,1,10.54,45.14
4,9.90,55.14,3,9.79,55.04,2,9.65,54.95,1,9.70,54.84
4,9.67,1:04.81,3,9.65,1:04.69,2,9.65,1:04.60,1,9.71,1:04.55
2,9.57,1:14.38,4,24.82,1:29.51,3,22.85,1:27.45,1,9.73,1:14.28
2,9.82,1:24.20,4,12.08,1:41.59,3,13.91,1:41.36,1,9.84,1:24.12
2,9.93,1:34.130,3,11.17,1:52.754,4,11.95,1:53.309,1,9.93,1:34.045
