Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,Michael KOCH POSITION,Michael KOCH LAP TIME,Michael KOCH ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME
1,9.685,9.685,2,9.811,9.811,3,10.003,10.003,4,10.262,10.262,5,10.367,10.367
1,12.590,22.275,2,12.602,22.413,3,12.586,22.589,4,12.617,22.879,5,12.647,23.013
1,11.231,33.506,2,11.175,33.587,3,11.145,33.733,4,11.081,33.959,5,11.090,34.102
1,11.083,44.588,3,11.156,44.742,4,11.140,44.872,5,11.034,44.993,2,10.618,44.720
2,10.348,54.936,3,10.306,55.048,4,10.362,55.234,5,10.366,55.359,1,10.148,54.867
1,10.321,1:05.257,3,10.378,1:05.426,4,10.287,1:05.520,5,10.347,1:05.705,2,10.428,1:05.295
1,10.330,1:15.587,3,10.241,1:15.666,4,10.390,1:15.909,5,10.455,1:16.159,2,10.300,1:15.594
1,10.181,1:25.767,3,10.207,1:25.873,4,10.156,1:26.065,5,10.067,1:26.226,2,10.213,1:25.806
1,10.171,1:35.937,3,10.147,1:36.020,4,10.103,1:36.168,5,10.046,1:36.272,2,10.138,1:35.944
2,9.614,1:45.551,4,9.797,1:45.816,3,9.599,1:45.766,5,9.655,1:45.926,1,9.486,1:45.429
3,9.768,1:55.318,5,9.815,1:55.631,1,9.471,1:55.236,4,9.460,1:55.385,2,9.842,1:55.270
4,9.780,2:05.098,5,9.896,2:05.527,1,9.380,2:04.615,3,9.521,2:04.905,2,9.625,2:04.895
4,9.827,2:14.924,5,10.356,2:15.882,1,9.319,2:13.934,2,9.222,2:14.127,3,9.998,2:14.893
4,10.31,2:25.234,5,10.75,2:26.626,1,9.56,2:23.491,2,9.60,2:23.722,3,10.26,2:25.147
