CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
2,12.36,12.36,4,12.57,12.57,3,12.45,12.45,1,12.31,12.31
1,9.47,21.83,4,9.62,22.19,3,9.57,22.02,2,9.63,21.94
1,9.43,31.26,4,9.35,31.54,3,9.44,31.46,2,9.43,31.37
2,9.44,40.70,4,9.46,41.00,3,9.42,40.88,1,9.32,40.69
2,9.10,49.80,4,9.09,50.09,3,9.06,49.94,1,9.04,49.73
2,9.16,58.96,4,9.11,59.20,3,9.13,59.07,1,9.14,58.87
2,9.08,1:08.04,4,9.08,1:08.28,3,9.09,1:08.16,1,9.10,1:07.97
2,9.01,1:17.05,3,9.11,1:17.39,4,35.61,1:43.77,1,9.00,1:16.97
2,8.99,1:26.040,3,9.21,1:26.596,0,,notime,1,8.92,1:25.889
